rank,business_name,review_count,categories,rating,address,price_range,url
1,Farmhouse Kitchen Thai Cuisine,1875,"Thai,Comfort Food",4,710 Florida St Mission,$$,https://www.yelp.com/biz/farmhouse-kitchen-thai-cuisine-san-francisco?osq=Restaurants
2,Loló,2018,Tapas/Small Plates,4,974 Valencia St Mission,$$,https://www.yelp.com/biz/lol%C3%B3-san-francisco-4?osq=Restaurants
3,El Farolito,4683,Mexican,4,2779 Mission St Mission,$,https://www.yelp.com/biz/el-farolito-san-francisco-2?osq=Restaurants
4,Myriad Gastropub,561,"Gastropubs,Venues &amp; Event Spaces",4.5,2491 Mission St Mission,$$,https://www.yelp.com/biz/myriad-gastropub-san-francisco?osq=Restaurants
5,Limón Rotisserie,3077,"Peruvian,Tapas/Small Plates",4,1001 S Van Ness Ave Mission,$$,https://www.yelp.com/biz/lim%C3%B3n-rotisserie-san-francisco-3?osq=Restaurants
6,Lolinda,1851,"Steakhouses,Tapas/Small Plates,Latin American",4,2518 Mission St Mission,$$$,https://www.yelp.com/biz/lolinda-san-francisco?osq=Restaurants
7,Tuba Authentic Turkish Restaurant,969,"Mediterranean,Turkish",4.5,1007 Guerrero St Mission,$$,https://www.yelp.com/biz/tuba-authentic-turkish-restaurant-san-francisco?osq=Restaurants
8,Beretta,3446,"Italian,Bars,Pizza",4,1199 Valencia St Mission,$$,https://www.yelp.com/biz/beretta-san-francisco?osq=Restaurants
9,The Front Porch,2678,"Southern,Cajun/Creole,American (Traditional)",4,65 29th St Bernal Heights,$$,https://www.yelp.com/biz/the-front-porch-san-francisco?osq=Restaurants
10,La Taqueria,3823,Mexican,4,2889 Mission St Mission,$,https://www.yelp.com/biz/la-taqueria-san-francisco-2?osq=Restaurants
11,Californios,264,Mexican,4.5,3115 22nd St Mission,$$$$,https://www.yelp.com/biz/californios-san-francisco?osq=Restaurants
